ROW_ID,conversion
0,0.041599505
1,0.00029764103
2,0.15780479
3,0.00050030893
4,0.24297644
5,0.029225353
6,0.00057984464
7,0.042795885
8,0.12305699
9,0.00061194395
10,0.0013871184
11,0.14687595
12,0.319485
13,0.019618835
14,0.05770239
15,0.0008862789
16,0.27317968
17,0.0002587178
18,0.0030382988
19,0.0009957843
20,0.0638287
21,0.12409577
22,0.22122179
23,0.00028320157
24,0.00022830805
25,0.00040370566
26,0.10065306
27,0.00028015033
28,0.06971769
29,0.22612329
30,0.00044020385
31,0.042496875
32,0.00057144446
33,0.08484621
34,0.050655443
35,0.5463385
36,0.03008082
37,0.039375722
38,0.011419012
39,0.31106406
40,0.09743758
41,0.0004749935
42,0.0005790827
43,0.038363326
44,0.07445919
45,0.068085894
46,0.033136234
47,0.07903619
48,0.045793604
49,0.0025403341
50,0.047769923
51,0.07104937
52,0.0018239392
53,0.00037735488
54,0.28427786
55,0.0006158304
56,0.20294873
57,0.00019224657
58,0.22758724
59,0.0014521374
60,0.086804874
61,0.00016429946
62,0.04183826
63,0.12853529
64,0.00124293
65,0.00029886232
66,0.000425077
67,0.021848734
68,0.24981423
69,0.24458545
70,0.00024142861
71,0.00031627133
72,0.00059665256
73,0.13001671
74,0.0009817119
75,0.63672954
76,0.054225087
77,0.0012377871
78,0.045219712
79,0.042355325
80,0.0004663757
81,0.0006342563
82,0.13829674
83,0.043724656
84,0.0004442893
85,0.0014796717
86,0.0011323645
87,0.00046046343
88,0.22096567
89,0.015087289
90,0.070615955
91,0.14919135
92,0.17332526
93,0.1490102
94,0.018578295
95,0.022023609
96,0.00029621174
97,0.0011693949
98,0.0002294599
99,0.09063899
100,0.20977849
101,0.177948
102,0.106356755
103,0.0009228887
104,0.003782251
105,0.06620657
106,0.011194233
107,0.23281235
108,0.114937805
109,0.08970767
110,0.020682871
111,0.001326081
112,0.3628007
113,0.0033975116
114,0.096244715
115,0.079715624
116,0.0005476022
117,0.1328331
118,0.13695551
119,0.22168443
120,0.36059916
121,0.11192396
122,0.00048371256
123,0.00055230805
124,0.00044987752
125,0.14952725
126,0.00018654086
127,0.057020508
128,0.00032417892
129,0.022732208
130,0.00043070546
131,0.0008423481
132,0.23922127
133,0.24450168
134,0.008472308
135,0.09001206
136,0.00012615684
137,0.2465095
138,0.0005426888
139,0.00058562146
140,0.41955453
141,0.0012692382
142,0.0044067437
143,0.21253732
144,0.33787107
145,0.060345482
146,0.037102707
147,0.0011282563
